1000000 reads considered for genome annotation 
2000000 reads considered for genome annotation 
3000000 reads considered for genome annotation 
         1056012512 function calls (1056010148 primitive calls) in 478.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       22    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:68(__contains__)
       16    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        8    0.000    0.000    0.000    0.000 abc.py:105(register)
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        5    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.033    0.033 add_newdocs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 array_printer.py:2(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:387(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:4(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:499(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:529(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:540(ComplexFormat)
        1    0.000    0.000    0.001    0.001 arraysetops.py:25(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ascii.py:13(Codec)
        1    0.000    0.000    0.000    0.000 ascii.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 ascii.py:24(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 ascii.py:28(StreamWriter)
        1    0.000    0.000    0.000    0.000 ascii.py:31(StreamReader)
        1    0.000    0.000    0.000    0.000 ascii.py:34(StreamConverter)
        1    0.000    0.000    0.000    0.000 ascii.py:41(getregentry)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        2    0.000    0.000    0.000    0.000 calignmentfile.pyx:1027(__get__)
  3312397    1.190    0.000    1.190    0.000 calignmentfile.pyx:125(makeAlignedSegment)
        2    0.000    0.000    0.000    0.000 calignmentfile.pyx:1376(__init__)
        2    0.000    0.000    0.000    0.000 calignmentfile.pyx:1404(__dealloc__)
        1    0.003    0.003    0.003    0.003 calignmentfile.pyx:1425(__init__)
  3312398    4.430    0.000    4.430    0.000 calignmentfile.pyx:1447(cnext)
        1    0.000    0.000    0.000    0.000 calignmentfile.pyx:1468(__dealloc__)
        1    0.000    0.000    0.000    0.000 calignmentfile.pyx:1579(__init__)
        1    0.000    0.000    0.003    0.003 calignmentfile.pyx:1590(nextiter)
        1    0.000    0.000    0.000    0.000 calignmentfile.pyx:1606(__iter__)
  3312398    1.889    0.000    7.512    0.000 calignmentfile.pyx:1609(__next__)
242570131  107.580    0.000  140.393    0.000 calignmentfile.pyx:2092(_getSequenceRange)
  3312397    0.467    0.000    0.467    0.000 calignmentfile.pyx:2332(__dealloc__)
  6572349    0.663    0.000    0.663    0.000 calignmentfile.pyx:2440(__get__)
  3253857    0.325    0.000    0.325    0.000 calignmentfile.pyx:2456(__get__)
  3253857    0.413    0.000    0.413    0.000 calignmentfile.pyx:2461(__get__)
242570131   51.706    0.000  192.099    0.000 calignmentfile.pyx:2583(__get__)
  3312397    1.555    0.000    1.904    0.000 calignmentfile.pyx:2729(__get__)
  3259952    1.401    0.000    1.715    0.000 calignmentfile.pyx:2741(__get__)
        1    0.000    0.000    0.001    0.001 calignmentfile.pyx:301(__cinit__)
  6507714    1.508    0.000    1.508    0.000 calignmentfile.pyx:3123(__get__)
  3253863    0.317    0.000    0.317    0.000 calignmentfile.pyx:314(_isOpen)
        3    0.000    0.000    0.000    0.000 calignmentfile.pyx:318(_hasIndex)
        1    0.000    0.000    0.001    0.001 calignmentfile.pyx:322(_open)
  3253857    1.287    0.000    1.700    0.000 calignmentfile.pyx:3458(__get__)
